extractor,seed,block,method,events,expected,arl0_hat,p_value,dispersion,stream_windows
imagenet,52,layer1,SPE,9,29.99735135135135,1233.2244444444445,1.4270414025276317e-05,2.08641975308642,11099.02
imagenet,52,layer1,CUSUM-R,26,29.99735135135135,426.8853846153846,0.5349856860331688,0.10256410256410257,11099.02
imagenet,52,layer2,KSWIN,34,29.99735135135135,326.44176470588235,0.5107851767205657,0.6013071895424836,11099.02
imagenet,52,layer2,KL-Gauss,63,29.99735135135135,176.17492063492065,2.0052937076702767e-07,1.0599647266313934,11099.02
imagenet,52,layer2,KL-Hist,62,29.99735135135135,179.01645161290324,4.2678004006325684e-07,1.8566308243727598,11099.02
imagenet,52,layer2,HDDDM,28,29.99735135135135,396.3935714285714,0.8065368932206457,1.1746031746031746,11099.02
imagenet,52,layer2,PSI,49,29.99735135135135,226.51061224489797,0.001770861896716042,0.9274376417233559,11099.02
imagenet,52,layer2,T2,40,29.99735135135135,277.4755,0.09240763085168613,1.1666666666666667,11099.02
imagenet,52,layer2,Frechet,52,29.99735135135135,213.4426923076923,0.0003354812952195311,1.017094017094017,11099.02
imagenet,52,layer2,MMD,31,29.99735135135135,358.0329032258065,0.9029122081784053,1.0358422939068102,11099.02
imagenet,52,layer2,CUSUM,3161,29.99735135135135,3.5112369503321736,0.0,826.2114309817567,11099.02
imagenet,52,layer2,EWMA,43,29.99735135135135,258.1167441860465,0.029600447151720666,2.069767441860465,11099.02
imagenet,52,layer2,SPE,30,29.99735135135135,369.96733333333333,1.0,1.037037037037037,11099.02
imagenet,52,layer2,CUSUM-R,40,29.99735135135135,277.4755,0.09240763085168613,0.2222222222222222,11099.02
imagenet,52,layer3,KSWIN,33,29.99735135135135,336.33393939393943,0.6305684487342333,0.946127946127946,11099.02
imagenet,52,layer3,KL-Gauss,8,29.99735135135135,1387.3775,4.100225854971944e-06,1.3333333333333333,11099.02
imagenet,52,layer3,KL-Hist,22,29.99735135135135,504.5009090909091,0.16127648623203544,1.0909090909090908,11099.02
imagenet,52,layer3,HDDDM,37,29.99735135135135,299.9735135135135,0.23905332585359146,1.144144144144144,11099.02
imagenet,52,layer3,PSI,22,29.99735135135135,504.5009090909091,0.16127648623203544,0.4848484848484848,11099.02
imagenet,52,layer3,T2,17,29.99735135135135,652.8835294117647,0.014558440263916502,0.3986928104575164,11099.02
imagenet,52,layer3,Frechet,35,29.99735135135135,317.11485714285715,0.4051033856438455,0.6507936507936508,11099.02
imagenet,52,layer3,MMD,13,29.99735135135135,853.7707692307692,0.0008158375220350545,0.35042735042735046,11099.02
imagenet,52,layer3,CUSUM,9163,29.99735135135135,1.2112866964967806,0.0,186.64194162513488,11099.02
imagenet,52,layer3,EWMA,22,29.99735135135135,504.5009090909091,0.16127648623203544,0.4848484848484848,11099.02
imagenet,52,layer3,SPE,38,29.99735135135135,292.07947368421054,0.17786386514626654,1.1578947368421053,11099.02
imagenet,52,layer3,CUSUM-R,65,29.99735135135135,170.75415384615386,4.23070044612401e-08,0.4188034188034188,11099.02
imagenet,52,layer4,KSWIN,28,29.99735135135135,396.3935714285714,0.8065368932206457,0.6984126984126984,11099.02
imagenet,52,layer4,KL-Gauss,23,29.99735135135135,482.56608695652176,0.2294723966414121,1.6473429951690826,11099.02
imagenet,52,layer4,KL-Hist,29,29.99735135135135,382.7248275862069,0.9518187558646063,1.0306513409961686,11099.02
